Sl No,Name
1,abn
2,annual_salary
3,base_income
4,deduction_item
,deduction_this_period
,deduction_type
,deduction_ytd
5,earning_item
,earning_hours
,earning_rate
,earning_this_period
,earning_type
,earning_ytd
6,employee_classification
7,employee_name
8,employer_name
9,employment_type
10,end_date
11,gross_earnings
12,gross_earnings_ytd
13,net_pay
14,net_pay_ytd
15,page_number
16,pay_date
17,start_date
18,superannuation_item
,superannuation_this_period
,superannuation_type
,superannuation_ytd
19,tax_item
,tax_this_period
,tax_type
,tax_ytd
